col_a,col_b,col_c,col_d
GR-0003007,PO-0003701,2024-09-09,100
GR-0003008,PO-0003702,2026-03-13,200
GR-0003009,PO-0003703,2025-05-29,100
GR-0003010,PO-0003704,2024-05-26,200
GR-0003011,PO-0003705,2024-04-24,500
GR-0003012,PO-0003707,2024-04-06,1000
GR-0003013,PO-0003708,2024-12-01,50
GR-0003014,PO-0003709,2026-02-07,1000
GR-0003015,PO-0003710,2024-12-21,50
GR-0003016,PO-0003712,2024-03-16,100
GR-0003017,PO-0003713,2024-02-15,1000
GR-0003018,PO-0003714,2025-04-17,500
GR-0003019,PO-0003716,2024-06-19,147
GR-0003020,PO-0003717,2024-06-17,100
GR-0003021,PO-0003719,2024-09-21,500
GR-0003022,PO-0003720,2025-01-16,100
GR-0003023,PO-0003721,2024-12-19,50
GR-0003024,PO-0003723,2026-05-23,500
GR-0003025,PO-0003724,2026-04-03,100
GR-0003026,PO-0003725,2025-02-28,1000
GR-0003027,PO-0003726,2024-08-30,500
GR-0003028,PO-0003729,2026-05-15,188
GR-0003029,PO-0003731,2025-08-28,500
GR-0003030,PO-0003733,2024-10-02,200
GR-0003031,PO-0003734,2026-01-05,500
GR-0003032,PO-0003735,2025-05-16,1000
GR-0003033,PO-0003736,2024-06-04,50
GR-0003034,PO-0003737,2024-06-01,1000
GR-0003035,PO-0003738,2024-03-08,50
GR-0003036,PO-0003739,2024-04-17,200
GR-0003037,PO-0003740,2025-07-24,500
GR-0003038,PO-0003741,2025-05-31,50
GR-0003039,PO-0003742,2025-03-24,200
GR-0003040,PO-0003743,2024-06-21,500
GR-0003041,PO-0003745,2026-01-26,82
GR-0003042,PO-0003748,2024-08-08,200
GR-0003043,PO-0003749,2025-03-26,500
GR-0003044,PO-0003751,2025-05-04,100
GR-0003045,PO-0003753,2025-09-06,100
GR-0003046,PO-0003754,2026-03-22,1000
GR-0003047,PO-0003755,2024-11-11,1000
GR-0003048,PO-0003757,2026-05-13,100
GR-0003049,PO-0003758,2026-01-12,200
GR-0003050,PO-0003759,2025-11-10,500
GR-0003051,PO-0003760,2025-04-24,385
GR-0003052,PO-0003761,2025-05-27,500
GR-0003053,PO-0003762,2025-09-27,1000
GR-0003054,PO-0003764,2025-02-07,200
GR-0003055,PO-0003765,2024-07-29,200
GR-0003056,PO-0003767,2024-10-17,500
GR-0003057,PO-0003769,2025-04-07,200
GR-0003058,PO-0003770,2024-06-25,1000
GR-0003059,PO-0003771,2024-08-27,500
GR-0003060,PO-0003775,2025-03-30,1000
GR-0003061,PO-0003776,2024-03-05,500
GR-0003062,PO-0003777,2024-10-19,1000
GR-0003063,PO-0003778,2024-04-20,500
GR-0003064,PO-0003779,2025-12-02,100
GR-0003065,PO-0003780,2026-04-20,100
GR-0003066,PO-0003781,2024-04-29,200
GR-0003067,PO-0003782,2026-02-02,50
GR-0003068,PO-0003783,2024-11-03,500
GR-0003069,PO-0003784,2025-05-21,441
GR-0003070,PO-0003785,2026-02-07,200
GR-0003071,PO-0003786,2025-10-19,50
GR-0003072,PO-0003787,2024-03-03,100
GR-0007169,PO-0008807,2025-02-08,500
GR-0007170,PO-0008808,2024-09-16,1000
GR-0007171,PO-0008809,2025-08-22,200
GR-0007172,PO-0008810,2025-11-13,1000
GR-0007173,PO-0008811,2024-12-05,50
GR-0007174,PO-0008812,2024-12-13,500
GR-0007175,PO-0008813,2024-10-21,100
GR-0007176,PO-0008814,2024-04-09,200
GR-0007177,PO-0008815,2024-08-28,500
GR-0007178,PO-0008816,2025-12-04,500
GR-0007179,PO-0008817,2025-09-28,1000
GR-0007180,PO-0008819,2025-03-24,50
GR-0007181,PO-0008821,2024-03-12,500
GR-0007182,PO-0008822,2025-06-12,200
GR-0007183,PO-0008824,2025-06-04,1000
GR-0007184,PO-0008825,2025-11-07,500
GR-0007185,PO-0008827,2025-12-04,100
GR-0007186,PO-0008828,2024-07-19,200
GR-0007187,PO-0008829,2024-09-11,200
GR-0007188,PO-0008830,2024-10-20,200
GR-0007189,PO-0008831,2025-06-19,1000
GR-0007190,PO-0008833,2026-06-06,500
GR-0007191,PO-0008834,2025-12-27,100
GR-0007192,PO-0008835,2024-04-18,500
GR-0007193,PO-0008836,2024-03-05,100
GR-0007194,PO-0008837,2025-04-22,200
GR-0007195,PO-0008838,2025-11-01,1000
GR-0007196,PO-0008839,2024-09-20,50
GR-0007197,PO-0008840,2024-11-19,1000
GR-0007198,PO-0008841,2026-05-04,1000
GR-0007199,PO-0008842,2024-04-11,1000
GR-0007200,PO-0008844,2025-02-23,50
GR-0007201,PO-0008845,2025-05-07,1000
GR-0007202,PO-0008847,2026-03-13,441
GR-0007203,PO-0008848,2024-05-02,200
GR-0007204,PO-0008851,2025-03-05,200
GR-0007205,PO-0008852,2025-09-05,500
GR-0007206,PO-0008853,2025-03-12,1000
GR-0007207,PO-0008854,2025-05-28,50
GR-0007208,PO-0008856,2025-04-14,200
GR-0007209,PO-0008857,2025-09-19,500
GR-0007210,PO-0008858,2024-02-24,500
GR-0007211,PO-0008859,2024-07-28,100
GR-0007212,PO-0008861,2024-08-11,500
GR-0007213,PO-0008862,2024-04-03,500
GR-0007214,PO-0008864,2024-07-07,50
GR-0007215,PO-0008865,2025-12-26,985
GR-0007216,PO-0008866,2026-01-07,100
GR-0007217,PO-0008867,2026-06-05,500
GR-0007218,PO-0008868,2024-03-16,500
GR-0007219,PO-0008869,2025-12-21,1000
GR-0007220,PO-0008870,2026-03-18,200
GR-0007221,PO-0008871,2026-05-16,500
GR-0007222,PO-0008872,2026-02-19,500
GR-0007223,PO-0008873,2024-08-03,200
GR-0007224,PO-0008877,2024-10-29,50
GR-0007225,PO-0008879,2024-07-12,50
GR-0007226,PO-0008880,2024-04-15,1000
GR-0007227,PO-0008881,2026-02-04,1000
GR-0007228,PO-0008883,2024-07-20,100
GR-0007229,PO-0008884,2025-03-22,36
GR-0007230,PO-0008887,2025-03-13,200
GR-0007231,PO-0008889,2025-02-10,1000
GR-0007232,PO-0008890,2025-04-09,500
GR-0007233,PO-0008891,2025-06-22,387
GR-0007234,PO-0008892,2024-07-19,145
GR-0007235,PO-0008893,2024-09-18,500
GR-0007236,PO-0008894,2026-04-26,500
GR-0007237,PO-0008895,2024-11-18,50
GR-0007238,PO-0008896,2024-11-04,1000
GR-0007239,PO-0008897,2025-09-09,50
GR-0007240,PO-0008899,2024-07-15,1000
GR-0007241,PO-0008900,2026-04-15,100
GR-0007242,PO-0008903,2026-03-10,500
GR-0007243,PO-0008904,2026-05-11,100
GR-0007244,PO-0008905,2024-09-18,1000
GR-0007245,PO-0008906,2024-06-03,200
GR-0007246,PO-0008907,2024-05-31,1000
GR-0007247,PO-0008908,2024-06-15,1000
GR-0007248,PO-0008909,2026-03-22,890
GR-0007249,PO-0008910,2024-11-07,200
GR-0007250,PO-0008911,2025-08-20,500
GR-0007251,PO-0008914,2025-01-22,1000
GR-0007252,PO-0008915,2025-04-14,100
GR-0007253,PO-0008917,2026-05-20,50
GR-0007254,PO-0008918,2024-10-19,500
GR-0007255,PO-0008919,2024-08-13,1000
GR-0007256,PO-0008920,2025-08-21,100
GR-0007257,PO-0008921,2025-10-04,500
GR-0007258,PO-0008923,2026-01-31,100
GR-0007259,PO-0008924,2025-04-06,100
GR-0007260,PO-0008925,2024-12-30,200
GR-0007261,PO-0008927,2024-11-01,500
GR-0007262,PO-0008928,2025-01-08,100
GR-0007263,PO-0008929,2024-12-05,50
GR-0007264,PO-0008930,2024-06-17,200
GR-0007265,PO-0008931,2024-10-21,200
GR-0007266,PO-0008932,2026-01-17,1000
GR-0007267,PO-0008933,2024-06-04,1000
GR-0007268,PO-0008934,2025-01-21,50
GR-0007269,PO-0008935,2024-12-10,100
GR-0007270,PO-0008936,2025-06-23,82
GR-0007271,PO-0008938,2026-01-02,100
GR-0007272,PO-0008939,2024-04-04,1000
GR-0007273,PO-0008940,2025-09-25,1000
GR-0007274,PO-0008941,2025-11-04,50
GR-0007275,PO-0008942,2024-07-05,100
GR-0007276,PO-0008943,2025-06-04,1000
GR-0007277,PO-0008944,2024-12-07,50
GR-0007278,PO-0008945,2025-01-14,500
GR-0007279,PO-0008946,2024-09-20,200
GR-0007280,PO-0008947,2026-04-08,50
GR-0007281,PO-0008948,2024-02-10,500
GR-0007282,PO-0008949,2026-04-12,200
GR-0007283,PO-0008950,2025-03-12,50
GR-0007284,PO-0008951,2025-12-12,50
GR-0007285,PO-0008952,2024-08-06,100
GR-0007286,PO-0008956,2024-09-20,500
GR-0007287,PO-0008957,2025-06-14,100
GR-0007288,PO-0008958,2025-01-07,1000
GR-0007289,PO-0008960,2026-01-15,500
GR-0007290,PO-0008961,2024-08-08,1000
GR-0007291,PO-0008962,2026-04-02,200
GR-0007292,PO-0008963,2024-03-08,50
GR-0007293,PO-0008964,2025-12-06,50
GR-0007294,PO-0008965,2024-06-03,459
GR-0007295,PO-0008966,2025-01-27,200
GR-0007296,PO-0008967,2025-12-21,200
GR-0007297,PO-0008968,2024-04-25,200
GR-0007298,PO-0008969,2026-04-03,1000
GR-0007299,PO-0008970,2024-05-14,1000
GR-0007300,PO-0008971,2024-09-17,500
GR-0007301,PO-0008972,2024-09-03,50
GR-0007302,PO-0008973,2024-05-04,1000
GR-0007303,PO-0008974,2025-03-18,100
GR-0007304,PO-0008975,2024-11-17,1000
GR-0007305,PO-0008976,2025-10-31,1000
GR-0007306,PO-0008977,2025-04-23,1000
GR-0007307,PO-0008979,2024-10-22,156
GR-0007308,PO-0008980,2024-03-06,1000
GR-0007309,PO-0008981,2025-03-27,1000
GR-0007310,PO-0008982,2024-05-18,500
GR-0007311,PO-0008983,2024-11-26,50
GR-0007312,PO-0008984,2025-09-18,1000
GR-0007313,PO-0008985,2025-08-01,50
GR-0007314,PO-0008987,2024-07-04,50
GR-0007315,PO-0008988,2025-09-14,200
GR-0007316,PO-0008989,2026-02-14,500
GR-0007317,PO-0008991,2024-05-29,100
GR-0007318,PO-0008993,2025-11-25,100
GR-0007319,PO-0008994,2026-05-29,100
GR-0007320,PO-0008995,2026-02-21,100
GR-0007321,PO-0008996,2025-12-12,1000
GR-0007322,PO-0008997,2025-08-09,50
GR-0007323,PO-0008998,2024-10-24,500
GR-0007324,PO-0008999,2024-06-23,200
GR-0007325,PO-0009000,2024-08-10,200
GR-0007326,PO-0009001,2026-05-13,200
GR-0007327,PO-0009003,2026-01-24,157
GR-0007328,PO-0009004,2025-04-30,100
GR-0007329,PO-0009005,2025-04-20,182
GR-0007330,PO-0009006,2026-04-10,50
GR-0007331,PO-0009007,2025-02-19,100
GR-0007332,PO-0009008,2025-01-10,500
GR-0007333,PO-0009010,2025-01-31,50
GR-0007334,PO-0009011,2025-05-02,1000
GR-0007335,PO-0009012,2025-06-10,50
GR-0007336,PO-0009015,2024-08-08,500
GR-0007337,PO-0009016,2024-05-30,500
GR-0007338,PO-0009017,2024-04-10,1000
GR-0007339,PO-0009018,2025-11-20,50
GR-0007340,PO-0009019,2025-03-02,500
GR-0007341,PO-0009020,2026-03-19,200
GR-0007342,PO-0009021,2025-01-02,500
GR-0007343,PO-0009022,2025-02-04,100
GR-0007344,PO-0009023,2025-03-22,200
GR-0007345,PO-0009024,2025-10-15,500
GR-0007346,PO-0009025,2025-10-17,100
GR-0007347,PO-0009026,2025-04-15,1000
GR-0007348,PO-0009027,2026-02-07,200
GR-0007349,PO-0009029,2025-03-01,50
GR-0007350,PO-0009030,2025-11-13,50
GR-0007351,PO-0009031,2024-11-22,183
GR-0007352,PO-0009032,2024-06-11,200
GR-0007353,PO-0009033,2024-06-16,100
GR-0007354,PO-0009034,2025-11-01,500
GR-0007355,PO-0009035,2026-02-05,73
GR-0007356,PO-0009037,2024-10-12,100
GR-0007357,PO-0009038,2025-01-24,50
GR-0007358,PO-0009041,2025-09-25,100
GR-0007359,PO-0009042,2024-10-28,100
GR-0007360,PO-0009043,2026-03-03,100
GR-0007361,PO-0009044,2024-03-17,200
GR-0007362,PO-0009046,2026-05-21,500
GR-0007363,PO-0009047,2025-02-20,100
GR-0007364,PO-0009049,2025-09-23,50
GR-0007365,PO-0009050,2025-07-18,1000
GR-0007366,PO-0009051,2026-01-17,500
GR-0007367,PO-0009052,2024-09-29,1000
GR-0007368,PO-0009053,2026-04-16,50
GR-0007369,PO-0009054,2024-10-09,200
GR-0007370,PO-0009055,2025-04-02,50
GR-0007371,PO-0009056,2025-12-16,50
GR-0007372,PO-0009057,2025-10-01,200
GR-0007373,PO-0009058,2025-08-18,200
GR-0007374,PO-0009059,2024-12-29,200
GR-0007375,PO-0009060,2025-05-06,100
GR-0007376,PO-0009061,2024-09-02,100
GR-0007377,PO-0009062,2024-06-14,500
GR-0007378,PO-0009063,2025-10-19,176
GR-0007379,PO-0009064,2025-01-26,1000
GR-0007380,PO-0009065,2026-05-11,500
GR-0007381,PO-0009066,2025-12-16,500
GR-0007382,PO-0009067,2025-03-24,97
GR-0007383,PO-0009068,2024-05-10,1000
GR-0007384,PO-0009069,2025-06-26,1000
GR-0007385,PO-0009070,2024-12-12,50
GR-0007386,PO-0009071,2025-03-05,50
GR-0007387,PO-0009073,2025-03-18,447
GR-0007388,PO-0009074,2024-07-09,200
GR-0007389,PO-0009075,2024-11-01,200
GR-0007390,PO-0009076,2025-09-29,500
GR-0007391,PO-0009077,2025-02-24,100
GR-0007392,PO-0009078,2025-12-01,93
GR-0007393,PO-0009079,2025-07-08,200
GR-0007394,PO-0009080,2024-10-11,50
GR-0007395,PO-0009081,2025-09-06,78
GR-0007396,PO-0009082,2026-05-22,500
GR-0007397,PO-0009084,2025-12-29,1000
GR-0007398,PO-0009086,2025-06-02,100
GR-0007399,PO-0009087,2024-08-20,200
GR-0007400,PO-0009089,2024-06-07,82
GR-0007401,PO-0009090,2025-02-26,500
GR-0007402,PO-0009091,2024-12-17,50
GR-0007403,PO-0009092,2024-05-24,50
GR-0007404,PO-0009095,2024-04-28,500
GR-0007405,PO-0009096,2026-03-28,1000
GR-0007406,PO-0009098,2026-03-07,422
GR-0007407,PO-0009100,2024-06-18,1000
GR-0007408,PO-0009101,2025-07-09,50
GR-0007409,PO-0009102,2026-02-20,100
GR-0007410,PO-0009103,2024-09-28,363
GR-0007411,PO-0009104,2025-11-11,500
GR-0007412,PO-0009105,2024-03-21,200
GR-0007413,PO-0009106,2025-04-22,1000
GR-0007414,PO-0009107,2024-04-07,184
GR-0007415,PO-0009109,2026-05-29,200
GR-0007416,PO-0009110,2025-06-28,50
GR-0007417,PO-0009111,2025-05-19,500
GR-0007418,PO-0009112,2025-11-08,1000
GR-0007419,PO-0009113,2024-08-29,500
GR-0007420,PO-0009114,2024-03-06,200
GR-0007421,PO-0009115,2024-01-29,1000
GR-0007422,PO-0009116,2024-05-20,200
GR-0007423,PO-0009117,2024-11-18,100
GR-0007424,PO-0009118,2025-04-12,200
GR-0007425,PO-0009119,2025-02-03,500
GR-0007426,PO-0009120,2025-04-07,50
GR-0007427,PO-0009121,2026-05-02,1000
GR-0007428,PO-0009122,2024-05-16,500
GR-0007429,PO-0009123,2025-04-14,100
GR-0007430,PO-0009124,2024-03-19,100
GR-0007431,PO-0009125,2025-12-27,50
GR-0007432,PO-0009126,2026-02-14,100
GR-0007433,PO-0009127,2025-05-24,200
GR-0007434,PO-0009129,2026-04-29,1000
GR-0007435,PO-0009130,2026-05-05,917
GR-0007436,PO-0009131,2025-09-15,100
GR-0007437,PO-0009132,2026-02-20,100
GR-0007438,PO-0009133,2024-04-19,100
GR-0007439,PO-0009134,2024-12-23,500
GR-0007440,PO-0009135,2024-07-19,1000
GR-0007441,PO-0009136,2026-02-08,50
GR-0007442,PO-0009137,2024-10-03,100
GR-0007443,PO-0009138,2024-10-15,1000
GR-0007444,PO-0009140,2025-01-08,500
GR-0007445,PO-0009141,2025-09-11,200
GR-0007446,PO-0009142,2025-12-06,500
GR-0007447,PO-0009143,2024-11-23,50
GR-0007448,PO-0009144,2024-11-20,500
GR-0007449,PO-0009145,2025-11-01,100
GR-0007450,PO-0009146,2026-05-17,100
GR-0007451,PO-0009147,2024-02-26,50
GR-0007452,PO-0009148,2026-04-30,1000
GR-0007453,PO-0009149,2024-09-17,50
GR-0007454,PO-0009150,2025-03-04,1000
GR-0007455,PO-0009151,2026-05-27,100
GR-0007456,PO-0009152,2024-09-15,200
GR-0007457,PO-0009153,2024-03-21,1000
GR-0007458,PO-0009154,2025-11-14,1000
GR-0007459,PO-0009155,2024-08-07,100
GR-0007460,PO-0009156,2025-03-13,50
GR-0007461,PO-0009157,2026-02-13,50
GR-0007462,PO-0009159,2024-12-25,100
GR-0007463,PO-0009160,2024-11-08,481
GR-0007464,PO-0009162,2026-03-20,200
GR-0007465,PO-0009163,2025-05-13,100
GR-0007466,PO-0009164,2024-08-15,500
GR-0007467,PO-0009165,2026-03-17,50
GR-0007468,PO-0009167,2025-11-23,500
GR-0007469,PO-0009169,2026-02-24,200
GR-0007470,PO-0009172,2024-11-21,50
GR-0007471,PO-0009174,2025-05-26,1000
GR-0007472,PO-0009175,2024-10-28,1000
GR-0007473,PO-0009176,2024-06-30,200
GR-0007474,PO-0009177,2025-05-08,100
GR-0007475,PO-0009178,2024-04-22,50
GR-0007476,PO-0009179,2025-06-27,100
GR-0007477,PO-0009180,2024-11-14,185
GR-0007478,PO-0009181,2024-07-02,500
GR-0007479,PO-0009182,2026-02-15,1000
GR-0007480,PO-0009184,2025-09-21,100
GR-0007481,PO-0009185,2026-04-23,200
GR-0007482,PO-0009186,2024-03-16,100
GR-0007483,PO-0009187,2025-03-02,200
GR-0007484,PO-0009188,2025-10-01,200
GR-0007485,PO-0009189,2025-07-14,1000
GR-0007486,PO-0009190,2025-05-05,100
GR-0007487,PO-0009191,2025-07-07,50
GR-0007488,PO-0009192,2025-08-15,500
GR-0007489,PO-0009193,2024-07-16,50
GR-0007490,PO-0009194,2026-03-08,100
GR-0007491,PO-0009195,2026-04-03,200
GR-0007492,PO-0009196,2026-03-18,500
GR-0007493,PO-0009197,2025-10-16,50
GR-0007494,PO-0009198,2026-04-12,100
GR-0007495,PO-0009199,2024-04-30,1000
GR-0007496,PO-0009200,2024-02-26,96
GR-0007497,PO-0009201,2025-05-31,200
GR-0007498,PO-0009202,2025-12-06,100
GR-0007499,PO-0009203,2024-11-27,50
GR-0007500,PO-0009204,2026-03-19,200
GR-0007501,PO-0009205,2024-05-11,976
GR-0007502,PO-0009206,2025-01-13,500
GR-0007503,PO-0009207,2026-04-04,1000
GR-0007504,PO-0009208,2025-06-24,46
GR-0007505,PO-0009209,2024-05-25,1000
GR-0007506,PO-0009210,2026-03-12,1000
GR-0007507,PO-0009211,2024-04-14,36
GR-0007508,PO-0009212,2024-07-05,500
GR-0007509,PO-0009213,2025-05-28,50
GR-0007510,PO-0009214,2024-10-05,774
GR-0007511,PO-0009215,2025-02-20,200
GR-0007512,PO-0009217,2025-09-23,100
GR-0007513,PO-0009219,2025-05-25,200
GR-0007514,PO-0009221,2026-04-09,500
GR-0007515,PO-0009222,2024-07-24,100
GR-0007516,PO-0009223,2024-02-18,1000
GR-0007517,PO-0009226,2025-01-10,1000
GR-0007518,PO-0009227,2024-07-29,200
GR-0007519,PO-0009229,2024-12-01,200
GR-0007520,PO-0009231,2026-01-08,100
GR-0007521,PO-0009232,2024-03-30,1000
GR-0007522,PO-0009233,2025-11-21,500
GR-0007523,PO-0009235,2024-08-15,1000
GR-0007524,PO-0009236,2024-09-21,500
GR-0007525,PO-0009237,2025-07-23,50
GR-0007526,PO-0009238,2024-04-24,1000
GR-0007527,PO-0009240,2025-03-30,200
GR-0007528,PO-0009241,2025-08-04,200
GR-0007529,PO-0009242,2024-08-26,200
GR-0007530,PO-0009243,2025-05-31,1000
GR-0007531,PO-0009244,2025-06-14,200
GR-0007532,PO-0009246,2025-06-18,100
GR-0007533,PO-0009248,2024-02-28,100
GR-0007534,PO-0009249,2025-05-06,500
GR-0007535,PO-0009250,2025-08-02,100
GR-0007536,PO-0009251,2025-03-09,500
GR-0007537,PO-0009252,2024-03-10,1000
GR-0007538,PO-0009254,2025-07-13,500
GR-0007539,PO-0009255,2025-11-11,200
GR-0007540,PO-0009256,2025-02-06,500
GR-0007541,PO-0009258,2025-08-25,100
GR-0007542,PO-0009259,2024-05-24,1000
GR-0007543,PO-0009261,2025-11-30,500
GR-0007544,PO-0009262,2025-02-24,50
GR-0007545,PO-0009263,2024-09-14,200
GR-0007546,PO-0009264,2024-04-30,50
GR-0007547,PO-0009265,2025-11-04,50
GR-0007548,PO-0009266,2025-04-02,200
GR-0007549,PO-0009267,2025-02-22,200
GR-0007550,PO-0009268,2025-07-14,50
GR-0007551,PO-0009269,2025-04-19,200
GR-0007552,PO-0009270,2025-11-20,200
GR-0007553,PO-0009272,2024-12-20,200
GR-0007554,PO-0009273,2025-06-28,200
GR-0007555,PO-0009274,2025-01-01,1000
GR-0007556,PO-0009276,2026-03-07,200
GR-0007557,PO-0009279,2025-09-21,1000
GR-0007558,PO-0009280,2024-03-06,50
GR-0007559,PO-0009283,2025-12-05,200
GR-0007560,PO-0009284,2024-09-14,1000
GR-0007561,PO-0009285,2024-05-18,200
GR-0007562,PO-0009286,2026-01-13,100
GR-0007563,PO-0009287,2024-02-26,500
GR-0007564,PO-0009288,2024-05-13,50
GR-0007565,PO-0009289,2024-02-20,50
GR-0007566,PO-0009290,2025-08-12,50
GR-0007567,PO-0009293,2025-06-21,500
GR-0007568,PO-0009294,2024-07-16,200
GR-0007569,PO-0009296,2024-08-19,500
GR-0007570,PO-0009297,2025-05-02,500
GR-0007571,PO-0009298,2024-06-18,1000
GR-0007572,PO-0009300,2024-05-22,500
GR-0007573,PO-0009302,2024-10-11,1000
GR-0007574,PO-0009305,2024-11-13,1000
GR-0007575,PO-0009307,2025-05-13,200
GR-0007576,PO-0009308,2025-08-03,1000
GR-0007577,PO-0009310,2025-04-25,925
GR-0007578,PO-0009311,2024-09-22,200
GR-0007579,PO-0009312,2024-03-29,100
GR-0007580,PO-0009313,2025-09-28,1000
GR-0007581,PO-0009314,2025-10-01,200
GR-0007582,PO-0009316,2024-10-19,200
GR-0007583,PO-0009317,2024-07-23,50
GR-0007584,PO-0009318,2025-11-02,500
GR-0007585,PO-0009319,2024-12-13,100
GR-0007586,PO-0009320,2025-08-27,500
GR-0007587,PO-0009321,2025-07-21,200
GR-0007588,PO-0009322,2026-01-17,1000
GR-0007589,PO-0009323,2026-03-25,200
GR-0007590,PO-0009324,2025-06-10,100
GR-0007591,PO-0009325,2025-04-08,1000
GR-0007592,PO-0009326,2025-06-28,100
GR-0007593,PO-0009328,2025-09-20,200
GR-0007594,PO-0009329,2024-03-29,200
GR-0007595,PO-0009330,2025-03-15,100
GR-0007596,PO-0009331,2026-03-14,200
GR-0007597,PO-0009334,2024-12-28,1000
GR-0007598,PO-0009335,2024-01-13,50
GR-0007599,PO-0009336,2025-01-27,50
GR-0007600,PO-0009337,2025-08-26,200
GR-0007601,PO-0009338,2024-03-06,50
GR-0007602,PO-0009339,2024-03-11,1000
GR-0007603,PO-0009340,2026-05-18,200
GR-0007604,PO-0009341,2025-03-11,1000
GR-0007605,PO-0009342,2026-01-03,200
GR-0007606,PO-0009343,2024-12-25,200
GR-0007607,PO-0009344,2024-07-20,1000
GR-0007608,PO-0009345,2024-06-28,500
GR-0007609,PO-0009346,2026-04-03,100
GR-0007610,PO-0009348,2025-08-12,500
GR-0007611,PO-0009349,2026-01-21,100
GR-0007612,PO-0009350,2024-03-13,200
GR-0007613,PO-0009352,2025-02-09,200
GR-0007614,PO-0009353,2025-11-16,500
GR-0007615,PO-0009354,2025-01-13,1000
GR-0007616,PO-0009356,2025-10-13,50
GR-0007617,PO-0009357,2024-10-10,48
GR-0007618,PO-0009358,2025-12-13,200
GR-0007619,PO-0009359,2024-08-08,500
GR-0007620,PO-0009361,2026-04-13,200
GR-0007621,PO-0009362,2026-05-23,1000
GR-0007622,PO-0009363,2024-05-02,50
GR-0007623,PO-0009364,2024-04-30,1000
GR-0007624,PO-0009365,2025-04-16,1000
GR-0007625,PO-0009366,2025-11-25,200
GR-0007626,PO-0009367,2025-03-20,1000
GR-0007627,PO-0009368,2024-10-30,100
GR-0007628,PO-0009369,2024-04-26,1000
GR-0007629,PO-0009370,2026-02-08,50
GR-0007630,PO-0009371,2025-05-22,100
GR-0007631,PO-0009372,2024-06-24,100
GR-0007632,PO-0009373,2026-03-08,37
GR-0007633,PO-0009374,2025-05-22,100
GR-0007634,PO-0009375,2024-08-18,50
GR-0007635,PO-0009376,2025-04-27,50
GR-0007636,PO-0009377,2026-01-17,200
GR-0007637,PO-0009378,2025-08-01,50
GR-0007638,PO-0009379,2025-10-01,500
GR-0007639,PO-0009381,2025-12-28,50
GR-0007640,PO-0009382,2025-12-26,500
GR-0007641,PO-0009383,2025-08-28,50
GR-0007642,PO-0009384,2024-11-07,1000
GR-0007643,PO-0009385,2024-02-13,390
GR-0007644,PO-0009386,2024-12-11,50
GR-0007645,PO-0009387,2025-12-17,50
GR-0007646,PO-0009388,2025-01-06,100
GR-0007647,PO-0009389,2024-10-05,200
GR-0007648,PO-0009390,2024-12-25,100
GR-0007649,PO-0009391,2024-08-03,50
GR-0007650,PO-0009392,2025-12-23,1000
GR-0007651,PO-0009393,2024-11-18,100
GR-0007652,PO-0009396,2025-11-27,100
GR-0007653,PO-0009397,2024-09-06,200
GR-0007654,PO-0009398,2025-11-07,1000
GR-0007655,PO-0009401,2025-07-10,200
GR-0007656,PO-0009402,2026-02-03,50
GR-0007657,PO-0009403,2025-11-28,200
GR-0007658,PO-0009404,2025-11-27,100
GR-0007659,PO-0009405,2025-02-21,50
GR-0007660,PO-0009406,2025-03-30,500
GR-0007661,PO-0009407,2025-01-28,1000
GR-0007662,PO-0009409,2024-09-30,200
GR-0007663,PO-0009410,2024-06-29,1000
GR-0007664,PO-0009411,2025-07-25,100
GR-0007665,PO-0009413,2024-10-15,100
GR-0007666,PO-0009414,2024-11-09,50
GR-0007667,PO-0009415,2025-05-27,50
GR-0007668,PO-0009420,2025-05-05,200
GR-0007669,PO-0009421,2024-11-10,200
GR-0007670,PO-0009422,2025-01-27,50
GR-0007671,PO-0009423,2024-03-09,1000
GR-0007672,PO-0009424,2026-03-16,200
GR-0007673,PO-0009425,2025-07-31,100
GR-0007674,PO-0009426,2025-02-15,1000
GR-0007675,PO-0009427,2025-02-19,97
GR-0007676,PO-0009428,2025-01-31,100
GR-0007677,PO-0009429,2026-02-01,50
GR-0007678,PO-0009430,2026-04-01,500
GR-0007679,PO-0009431,2024-09-21,100
GR-0007680,PO-0009433,2026-03-03,1000
GR-0007681,PO-0009434,2026-02-27,500
GR-0007682,PO-0009435,2024-11-19,50
GR-0007683,PO-0009436,2026-04-24,1000
GR-0007684,PO-0009437,2024-05-20,500
GR-0007685,PO-0009438,2025-05-03,200
GR-0007686,PO-0009439,2026-05-12,1000
GR-0007687,PO-0009440,2024-03-22,1000
GR-0007688,PO-0009442,2024-02-13,200
GR-0007689,PO-0009444,2025-08-10,200
GR-0007690,PO-0009445,2025-03-15,100
GR-0007691,PO-0009446,2025-09-11,500
GR-0007692,PO-0009448,2024-11-19,50
GR-0007693,PO-0009449,2025-08-13,100
GR-0007694,PO-0009450,2025-03-29,1000
GR-0007695,PO-0009451,2026-03-13,1000
GR-0007696,PO-0009452,2025-02-23,50
GR-0007697,PO-0009453,2024-02-28,500
GR-0007698,PO-0009454,2025-03-20,46
GR-0007699,PO-0009455,2025-06-09,50
GR-0007700,PO-0009456,2024-11-20,500
GR-0007701,PO-0009457,2026-02-21,50
GR-0007702,PO-0009459,2025-02-05,500
GR-0007703,PO-0009461,2025-05-25,500
GR-0007704,PO-0009462,2026-05-14,100
