col_a,col_b,col_c,col_d,col_e,col_f,col_g,col_h
PO-0001478,S-0050,M-0171,2024-06-15,2024-08-02,200,64.04,CLOSED
PO-0001479,S-0059,M-0152,2024-05-06,2024-05-18,50,3750.03,CLOSED
PO-0001480,S-0026,M-0001,2024-02-21,2024-03-15,200,3245.23,CLOSED
PO-0001481,S-0002,M-0023,2025-12-31,2026-01-13,200,933.91,CLOSED
PO-0001482,S-0022,M-0021,2024-10-24,2024-12-07,100,4836.1,CLOSED
PO-0001483,S-0005,M-0103,2024-04-10,2024-05-28,200,3973.51,OPEN
PO-0001484,S-0009,M-0153,2024-11-14,2024-12-29,100,2677.72,CLOSED
PO-0001485,S-0052,M-0149,2024-05-22,2024-06-08,100,3201.26,CLOSED
PO-0001486,S-0009,M-0161,2025-04-17,2025-06-01,1000,1556.6,CLOSED
PO-0001487,S-0039,M-0025,2024-05-21,2024-06-18,1000,1956.72,CLOSED
PO-0001488,S-0041,M-0110,2025-04-22,2025-05-03,500,2376.55,OPEN
PO-0001489,S-0006,M-0119,2024-01-29,2024-03-13,1000,2334.17,CLOSED
PO-0001490,S-0020,M-0036,2025-09-21,2025-11-08,200,779.4,CLOSED
PO-0001491,S-0022,M-0076,2024-02-24,2024-04-08,500,3520.86,CLOSED
PO-0001492,S-0026,M-0196,2025-06-14,2025-07-07,500,3717.8,CLOSED
PO-0001493,S-0009,M-0153,2024-04-09,2024-05-24,200,2677.72,CLOSED
PO-0001494,S-0054,M-0032,2026-01-28,2026-02-16,1000,1470.22,CLOSED
PO-0001495,S-0020,M-0190,2025-05-22,2025-07-09,100,2910.7,CLOSED
PO-0001496,S-0036,M-0078,2025-10-05,2025-11-19,200,2406.66,CLOSED
PO-0001497,S-0056,M-0018,2024-01-01,2024-02-10,100,838.03,CLOSED
PO-0001498,S-0002,M-0053,2024-04-16,2024-04-29,500,3360.92,CLOSED
PO-0001499,S-0060,M-0124,2024-07-07,2024-07-27,100,4111.72,CLOSED
PO-0001500,S-0048,M-0175,2025-03-25,2025-05-05,1000,2268.96,CLOSED
PO-0001501,S-0031,M-0062,2024-06-23,2024-07-23,1000,4741.4,CLOSED
PO-0001502,S-0055,M-0075,2024-10-23,2024-11-19,50,2463.37,OPEN
PO-0001503,S-0025,M-0127,2025-01-11,2025-01-22,200,4354.53,CLOSED
PO-0001504,S-0019,M-0008,2024-10-17,2024-11-18,500,3602.18,CLOSED
PO-0001505,S-0041,M-0009,2025-10-22,2025-11-02,1000,2468.23,CLOSED
PO-0001506,S-0046,M-0118,2024-10-10,2024-11-27,50,2776.65,CANCELLED
PO-0001507,S-0044,M-0092,2025-05-27,2025-06-15,1000,788.53,CLOSED
PO-0001508,S-0047,M-0132,2024-03-05,2024-04-02,100,4361.12,CLOSED
PO-0001509,S-0020,M-0036,2024-10-12,2024-11-29,200,779.4,OPEN
PO-0001510,S-0056,M-0018,2025-10-22,2025-12-01,500,838.03,CLOSED
PO-0001511,S-0048,M-0148,2025-12-26,2026-02-05,1000,3889.92,CLOSED
PO-0001512,S-0040,M-0159,2026-04-29,2026-05-20,500,4580.52,CLOSED
PO-0001513,S-0023,M-0060,2024-04-08,2024-04-23,50,389.66,CLOSED
PO-0001514,S-0004,M-0188,2026-03-25,2026-05-03,100,2830.33,CLOSED
PO-0001515,S-0045,M-0099,2026-02-12,2026-03-18,500,1491.73,OPEN
PO-0001516,S-0040,M-0016,2025-09-18,2025-10-09,200,4329.8,CLOSED
PO-0001517,S-0019,M-0008,2024-06-27,2024-07-29,200,3602.18,CLOSED
PO-0001518,S-0042,M-0164,2025-08-10,2025-09-28,1000,3097.48,CLOSED
PO-0001519,S-0021,M-0042,2025-03-20,2025-04-12,1000,4084.28,CLOSED
PO-0001520,S-0007,M-0162,2025-11-15,2025-12-19,50,721.54,CLOSED
PO-0001521,S-0012,M-0140,2024-03-14,2024-03-25,200,4360.66,CLOSED
PO-0001522,S-0045,M-0165,2025-06-24,2025-07-28,500,2244.75,CLOSED
PO-0001523,S-0020,M-0144,2024-05-21,2024-07-08,50,1287.99,CLOSED
PO-0001524,S-0037,M-0146,2024-03-21,2024-04-16,100,1511.39,CLOSED
PO-0001525,S-0038,M-0085,2024-01-24,2024-03-04,100,1450.84,CLOSED
PO-0001526,S-0046,M-0100,2025-12-21,2026-02-07,200,4305.05,CLOSED
PO-0001527,S-0031,M-0133,2025-09-17,2025-10-17,1000,3135.13,CLOSED
PO-0001528,S-0043,M-0029,2025-08-19,2025-10-01,500,2041.88,OPEN
PO-0001529,S-0028,M-0068,2025-10-30,2025-11-24,50,2554.51,CLOSED
PO-0001530,S-0002,M-0053,2025-07-14,2025-07-27,200,3360.92,OPEN
PO-0001531,S-0005,M-0170,2024-03-04,2024-04-21,100,2952.6,CLOSED
PO-0001532,S-0017,M-0157,2025-12-20,2026-01-25,50,2301.19,CLOSED
PO-0001533,S-0048,M-0123,2024-05-12,2024-06-22,200,1417.42,CLOSED
PO-0001534,S-0049,M-0058,2025-10-27,2025-12-02,200,3772.45,CLOSED
PO-0001535,S-0014,M-0015,2024-01-27,2024-03-14,100,558.83,CLOSED
PO-0001536,S-0023,M-0189,2024-01-19,2024-02-03,1000,304.66,CLOSED
PO-0001537,S-0016,M-0141,2024-05-21,2024-07-07,50,758.43,CLOSED
PO-0001538,S-0002,M-0050,2024-12-17,2024-12-30,500,2411.05,OPEN
PO-0001539,S-0016,M-0061,2024-08-25,2024-10-11,50,3125.61,CLOSED
PO-0001540,S-0037,M-0146,2024-02-16,2024-03-13,50,1511.39,OPEN
PO-0001541,S-0020,M-0064,2026-04-12,2026-05-30,50,177.11,CLOSED
PO-0001542,S-0028,M-0012,2024-11-17,2024-12-12,200,603.78,CLOSED
PO-0001543,S-0051,M-0169,2024-05-05,2024-06-07,50,4944.66,CLOSED
PO-0001544,S-0046,M-0181,2026-01-22,2026-03-11,200,4973.41,OPEN
PO-0001545,S-0017,M-0057,2025-03-30,2025-05-05,200,1097.72,OPEN
PO-0001546,S-0044,M-0200,2025-07-18,2025-08-06,200,2243.41,OPEN
PO-0001547,S-0017,M-0063,2025-06-23,2025-07-29,200,3049.17,CLOSED
PO-0001548,S-0005,M-0160,2025-05-12,2025-06-29,200,1545.84,CLOSED
PO-0001549,S-0006,M-0134,2024-08-24,2024-10-07,200,4303.74,CLOSED
PO-0001550,S-0016,M-0061,2025-12-16,2026-02-01,500,3125.61,CLOSED
PO-0001551,S-0025,M-0128,2024-02-04,2024-02-15,200,266.05,CLOSED
PO-0001552,S-0017,M-0157,2025-01-28,2025-03-05,500,2301.19,CLOSED
PO-0001553,S-0049,M-0058,2024-07-29,2024-09-03,500,3772.45,CLOSED
PO-0001554,S-0022,M-0090,2024-01-27,2024-03-11,1000,1299.77,CLOSED
PO-0001555,S-0028,M-0068,2026-04-09,2026-05-04,1000,2554.51,CLOSED
PO-0001556,S-0028,M-0187,2026-01-23,2026-02-17,50,3707.04,CLOSED
PO-0001557,S-0037,M-0074,2025-07-01,2025-07-27,500,1926,CLOSED
PO-0001558,S-0016,M-0061,2024-05-15,2024-07-01,50,3125.61,CLOSED
PO-0001559,S-0020,M-0064,2026-02-28,2026-04-17,1000,177.11,CLOSED
PO-0001560,S-0044,M-0065,2026-03-12,2026-03-31,1000,4710.28,CLOSED
PO-0001561,S-0028,M-0068,2024-07-02,2024-07-27,500,2554.51,CLOSED
PO-0001562,S-0044,M-0143,2024-08-11,2024-08-30,500,415.62,CLOSED
PO-0001563,S-0017,M-0157,2025-07-18,2025-08-23,200,2301.19,OPEN
PO-0001564,S-0017,M-0113,2024-07-03,2024-08-08,200,4852.41,CLOSED
PO-0001565,S-0046,M-0038,2025-09-24,2025-11-11,50,2028.28,CLOSED
PO-0001566,S-0003,M-0130,2025-03-26,2025-04-29,1000,4828.5,CLOSED
PO-0001567,S-0054,M-0005,2025-11-25,2025-12-14,200,1547.46,CLOSED
PO-0001568,S-0021,M-0028,2024-03-20,2024-04-12,1000,4505.23,CLOSED
PO-0001569,S-0048,M-0175,2025-03-01,2025-04-11,50,2268.96,CLOSED
PO-0001570,S-0012,M-0084,2025-09-13,2025-09-24,200,3706.09,CLOSED
PO-0001571,S-0021,M-0042,2025-01-12,2025-02-04,50,4084.28,CLOSED
PO-0001572,S-0021,M-0028,2025-09-15,2025-10-08,100,4505.23,CLOSED
PO-0001573,S-0056,M-0089,2024-08-08,2024-09-17,500,1457.48,CLOSED
PO-0001574,S-0012,M-0098,2026-02-19,2026-03-02,50,824.84,OPEN
PO-0001575,S-0049,M-0058,2025-08-01,2025-09-06,1000,3772.45,CANCELLED
PO-0001576,S-0007,M-0162,2025-07-15,2025-08-18,500,721.54,CLOSED
PO-0001577,S-0051,M-0169,2025-06-21,2025-07-24,1000,4944.66,CLOSED
PO-0001578,S-0022,M-0076,2024-09-06,2024-10-20,200,3520.86,CLOSED
PO-0001579,S-0009,M-0030,2025-12-10,2026-01-24,100,3341.4,CLOSED
PO-0001580,S-0022,M-0021,2024-12-26,2025-02-08,1000,4836.1,CLOSED
PO-0001581,S-0002,M-0108,2024-08-23,2024-09-05,1000,249.15,CLOSED
PO-0001582,S-0003,M-0138,2024-09-07,2024-10-11,500,1502.17,CLOSED
PO-0001583,S-0037,M-0074,2024-12-15,2025-01-10,200,1926,CLOSED
PO-0001584,S-0011,M-0198,2024-07-21,2024-09-05,100,3621.9,OPEN
PO-0001585,S-0057,M-0004,2024-06-19,2024-06-30,50,1879.16,CLOSED
PO-0001586,S-0046,M-0121,2026-01-30,2026-03-19,50,4181.88,CLOSED
PO-0001587,S-0041,M-0136,2025-02-01,2025-02-12,500,3746.49,CLOSED
PO-0001588,S-0042,M-0183,2024-10-27,2024-12-15,50,4334.19,CLOSED
PO-0001589,S-0027,M-0185,2024-02-16,2024-03-28,50,2162.48,CLOSED
PO-0001590,S-0020,M-0105,2025-10-07,2025-11-24,500,2527.34,CLOSED
PO-0001591,S-0010,M-0186,2026-02-23,2026-03-09,1000,501.56,OPEN
PO-0001592,S-0056,M-0131,2024-03-26,2024-05-05,100,2653.46,OPEN
PO-0001593,S-0059,M-0152,2025-08-30,2025-09-11,200,3750.03,CLOSED
PO-0001594,S-0018,M-0046,2025-06-04,2025-07-01,1000,4470.48,CLOSED
PO-0001595,S-0031,M-0133,2025-06-21,2025-07-21,1000,3135.13,CLOSED
PO-0001596,S-0045,M-0099,2024-11-22,2024-12-26,100,1491.73,OPEN
PO-0001597,S-0041,M-0011,2026-04-13,2026-04-24,100,3719.09,CLOSED
PO-0001598,S-0054,M-0043,2024-05-01,2024-05-20,200,4491.18,CLOSED
PO-0001599,S-0037,M-0074,2024-09-22,2024-10-18,1000,1926,CLOSED
PO-0001600,S-0056,M-0131,2026-02-11,2026-03-23,100,2653.46,CLOSED
PO-0001601,S-0002,M-0050,2024-01-07,2024-01-20,500,2411.05,CLOSED
PO-0001602,S-0004,M-0188,2025-03-31,2025-05-09,1000,2830.33,CLOSED
PO-0001603,S-0057,M-0184,2025-12-24,2026-01-04,50,1727.71,CLOSED
PO-0001604,S-0009,M-0030,2024-12-28,2025-02-11,50,3341.4,CLOSED
PO-0001605,S-0030,M-0041,2025-06-03,2025-06-16,200,3354.51,CLOSED
PO-0001606,S-0034,M-0081,2024-02-09,2024-04-02,500,4983.33,CLOSED
PO-0001607,S-0014,M-0049,2025-07-25,2025-09-10,50,4528.95,OPEN
PO-0001608,S-0009,M-0161,2024-01-09,2024-02-23,100,1556.6,CLOSED
PO-0001609,S-0045,M-0039,2025-05-11,2025-06-14,100,3903.18,CLOSED
PO-0001610,S-0002,M-0023,2025-06-12,2025-06-25,100,933.91,CLOSED
PO-0001611,S-0002,M-0108,2025-12-05,2025-12-18,200,249.15,CLOSED
PO-0001612,S-0022,M-0090,2025-05-10,2025-06-23,1000,1299.77,CLOSED
PO-0001613,S-0020,M-0125,2025-05-16,2025-07-03,500,4994.57,CLOSED
PO-0001614,S-0017,M-0057,2024-04-25,2024-05-31,200,1097.72,CLOSED
PO-0001615,S-0023,M-0082,2025-11-07,2025-11-22,50,1567.78,CLOSED
PO-0001616,S-0060,M-0124,2026-04-04,2026-04-24,500,4111.72,CLOSED
PO-0001617,S-0020,M-0105,2024-03-03,2024-04-20,1000,2527.34,CLOSED
PO-0001618,S-0015,M-0101,2026-04-08,2026-04-28,500,2969.46,CLOSED
PO-0001619,S-0043,M-0163,2026-04-18,2026-05-31,50,2957.33,CLOSED
PO-0001620,S-0054,M-0043,2025-07-02,2025-07-21,100,4491.18,CLOSED
PO-0001621,S-0010,M-0139,2024-01-21,2024-02-04,50,2089.66,CLOSED
PO-0001622,S-0053,M-0091,2026-02-24,2026-03-21,1000,2484.15,CLOSED
PO-0001623,S-0008,M-0102,2026-01-05,2026-01-18,100,3255.79,CLOSED
PO-0001624,S-0006,M-0106,2024-08-08,2024-09-21,1000,4452.64,CLOSED
PO-0001625,S-0008,M-0102,2026-03-21,2026-04-03,500,3255.79,CLOSED
PO-0001626,S-0007,M-0162,2026-03-01,2026-04-04,100,721.54,CLOSED
PO-0001627,S-0020,M-0190,2024-10-03,2024-11-20,50,2910.7,CLOSED
PO-0001628,S-0004,M-0188,2025-03-01,2025-04-09,50,2830.33,CLOSED
PO-0001629,S-0015,M-0101,2024-07-17,2024-08-06,1000,2969.46,OPEN
PO-0001630,S-0047,M-0083,2025-03-11,2025-04-08,1000,641.8,CLOSED
PO-0001631,S-0017,M-0026,2024-09-27,2024-11-02,1000,2208.48,CLOSED
PO-0001632,S-0060,M-0124,2024-10-18,2024-11-07,1000,4111.72,CLOSED
PO-0001633,S-0037,M-0096,2026-02-20,2026-03-18,1000,3067.67,CLOSED
PO-0001634,S-0004,M-0115,2025-01-13,2025-02-21,500,1840.81,CLOSED
PO-0001635,S-0007,M-0162,2024-03-26,2024-04-29,50,721.54,CLOSED
PO-0001636,S-0053,M-0104,2025-09-23,2025-10-18,500,2223.81,CLOSED
PO-0001637,S-0040,M-0016,2026-02-24,2026-03-17,500,4329.8,CLOSED
PO-0001638,S-0025,M-0145,2025-09-05,2025-09-16,500,1224.17,OPEN
PO-0001639,S-0055,M-0069,2025-12-07,2026-01-03,100,572.42,CLOSED
PO-0001640,S-0034,M-0081,2025-10-29,2025-12-21,100,4983.33,CLOSED
PO-0001641,S-0044,M-0027,2025-03-11,2025-03-30,50,2184.92,CLOSED
PO-0001642,S-0024,M-0192,2024-05-04,2024-05-20,100,2891.8,CLOSED
PO-0001643,S-0009,M-0161,2026-04-02,2026-05-17,1000,1556.6,CLOSED
PO-0001644,S-0005,M-0103,2024-01-10,2024-02-27,200,3973.51,CLOSED
PO-0001645,S-0027,M-0185,2025-11-23,2026-01-03,200,2162.48,CLOSED
PO-0001646,S-0006,M-0134,2025-12-02,2026-01-15,100,4303.74,CLOSED
PO-0001647,S-0030,M-0155,2024-09-14,2024-09-27,500,3783.05,CLOSED
PO-0001648,S-0041,M-0035,2024-06-17,2024-06-28,1000,512.27,CLOSED
PO-0001649,S-0018,M-0046,2024-06-02,2024-06-29,500,4470.48,CLOSED
PO-0001650,S-0016,M-0080,2025-12-19,2026-02-04,100,2928.7,CLOSED
PO-0001651,S-0009,M-0153,2024-06-09,2024-07-24,50,2677.72,CLOSED
PO-0001652,S-0009,M-0161,2024-01-15,2024-02-29,100,1556.6,CLOSED
PO-0001653,S-0005,M-0160,2026-02-24,2026-04-13,500,1545.84,OPEN
PO-0001654,S-0020,M-0144,2025-07-08,2025-08-25,100,1287.99,CLOSED
PO-0001655,S-0030,M-0072,2024-07-01,2024-07-14,200,2982.75,CLOSED
PO-0001656,S-0048,M-0148,2026-03-01,2026-04-11,1000,3889.92,CLOSED
PO-0001657,S-0023,M-0189,2025-09-22,2025-10-07,500,304.66,CLOSED
PO-0001658,S-0042,M-0056,2024-04-03,2024-05-22,1000,4340.91,CLOSED
PO-0001659,S-0003,M-0014,2024-05-20,2024-06-23,1000,4499.96,CLOSED
PO-0001660,S-0036,M-0078,2025-05-27,2025-07-11,50,2406.66,CLOSED
PO-0001661,S-0006,M-0134,2024-11-20,2025-01-03,1000,4303.74,CLOSED
PO-0001662,S-0054,M-0043,2025-10-10,2025-10-29,200,4491.18,CLOSED
PO-0001663,S-0038,M-0176,2024-05-03,2024-06-12,1000,2544,OPEN
PO-0001664,S-0026,M-0167,2024-12-22,2025-01-14,100,4842.62,CLOSED
PO-0001665,S-0035,M-0172,2024-12-20,2025-02-07,500,594.14,CLOSED
PO-0001666,S-0018,M-0046,2026-02-04,2026-03-03,50,4470.48,CLOSED
PO-0001667,S-0051,M-0151,2024-11-13,2024-12-16,200,2918.89,CLOSED
PO-0001668,S-0041,M-0009,2025-10-24,2025-11-04,200,2468.23,CLOSED
PO-0001669,S-0034,M-0071,2025-10-02,2025-11-24,50,4050.59,CANCELLED
PO-0001670,S-0019,M-0008,2026-01-05,2026-02-06,500,3602.18,CANCELLED
PO-0001671,S-0007,M-0162,2025-04-10,2025-05-14,500,721.54,CLOSED
PO-0001672,S-0059,M-0095,2024-01-30,2024-02-11,1000,4307.82,OPEN
PO-0001673,S-0052,M-0040,2025-12-23,2026-01-09,100,298.58,OPEN
PO-0001674,S-0031,M-0034,2024-03-25,2024-04-24,500,469.74,CLOSED
PO-0001675,S-0030,M-0182,2024-03-04,2024-03-17,200,2179.49,CLOSED
PO-0001676,S-0054,M-0005,2024-12-06,2024-12-25,200,1547.46,OPEN
PO-0001677,S-0017,M-0044,2025-08-23,2025-09-28,200,1422.69,CLOSED
PO-0001678,S-0050,M-0171,2025-11-16,2026-01-03,50,64.04,CLOSED
PO-0001679,S-0053,M-0114,2024-02-15,2024-03-11,200,4353.37,CLOSED
PO-0001680,S-0043,M-0163,2026-02-03,2026-03-18,50,2957.33,CLOSED
PO-0001681,S-0002,M-0023,2025-08-02,2025-08-15,500,933.91,CLOSED
PO-0001682,S-0002,M-0023,2024-07-09,2024-07-22,200,933.91,CLOSED
PO-0001683,S-0048,M-0197,2024-06-22,2024-08-02,50,1912.16,CLOSED
PO-0001684,S-0048,M-0175,2025-10-19,2025-11-29,100,2268.96,CLOSED
PO-0001685,S-0012,M-0098,2025-12-23,2026-01-03,200,824.84,CLOSED
PO-0001686,S-0058,M-0052,2024-06-30,2024-07-14,200,1136.14,CLOSED
PO-0001687,S-0053,M-0091,2025-08-15,2025-09-09,200,2484.15,CLOSED
PO-0001688,S-0041,M-0010,2025-08-22,2025-09-02,500,268.23,CLOSED
PO-0001689,S-0007,M-0166,2026-04-10,2026-05-14,200,4513.4,CLOSED
PO-0001690,S-0007,M-0024,2025-06-09,2025-07-13,100,1761.15,CLOSED
PO-0001691,S-0009,M-0030,2025-06-13,2025-07-28,100,3341.4,CLOSED
PO-0001692,S-0041,M-0009,2024-11-26,2024-12-07,50,2468.23,CLOSED
PO-0001693,S-0002,M-0108,2025-05-01,2025-05-14,200,249.15,CLOSED
PO-0001694,S-0012,M-0140,2024-07-09,2024-07-20,50,4360.66,CLOSED
PO-0001695,S-0031,M-0178,2025-03-21,2025-04-20,500,3446.18,CLOSED
PO-0001696,S-0005,M-0103,2024-11-03,2024-12-21,50,3973.51,CANCELLED
PO-0001697,S-0023,M-0060,2026-02-20,2026-03-07,1000,389.66,CLOSED
PO-0001698,S-0048,M-0148,2025-02-14,2025-03-27,1000,3889.92,CLOSED
PO-0001699,S-0049,M-0051,2025-08-04,2025-09-09,100,2714.19,CLOSED
PO-0001700,S-0016,M-0080,2026-03-22,2026-05-08,100,2928.7,CLOSED
PO-0001701,S-0041,M-0045,2024-11-04,2024-11-15,200,2227.37,CLOSED
PO-0001702,S-0007,M-0024,2026-01-11,2026-02-14,100,1761.15,CLOSED
PO-0001703,S-0017,M-0026,2025-04-27,2025-06-02,1000,2208.48,CLOSED
PO-0001704,S-0035,M-0172,2025-01-20,2025-03-10,500,594.14,CLOSED
PO-0001705,S-0041,M-0035,2025-02-13,2025-02-24,200,512.27,OPEN
PO-0001706,S-0001,M-0173,2026-01-17,2026-03-12,500,2964.82,CLOSED
PO-0001707,S-0035,M-0172,2026-01-28,2026-03-18,1000,594.14,CLOSED
PO-0001708,S-0059,M-0129,2026-04-22,2026-05-04,50,4942.65,CLOSED
PO-0001709,S-0007,M-0166,2024-08-23,2024-09-26,100,4513.4,CLOSED
PO-0001710,S-0010,M-0047,2025-03-11,2025-03-25,100,3485.05,CLOSED
PO-0001711,S-0041,M-0009,2024-09-24,2024-10-05,500,2468.23,CLOSED
PO-0001712,S-0056,M-0089,2025-12-03,2026-01-12,50,1457.48,CLOSED
PO-0001713,S-0021,M-0042,2024-11-22,2024-12-15,100,4084.28,CLOSED
PO-0001714,S-0011,M-0198,2024-02-25,2024-04-11,200,3621.9,CLOSED
PO-0001715,S-0029,M-0116,2025-05-29,2025-07-21,200,1371.93,CLOSED
PO-0001716,S-0018,M-0046,2025-03-10,2025-04-06,1000,4470.48,CLOSED
PO-0001717,S-0060,M-0002,2024-12-11,2024-12-31,1000,2318.51,CLOSED
PO-0001718,S-0006,M-0119,2024-10-15,2024-11-28,50,2334.17,CLOSED
PO-0001719,S-0017,M-0154,2025-12-03,2026-01-08,200,3745.47,CLOSED
PO-0001720,S-0018,M-0046,2024-10-27,2024-11-23,200,4470.48,CLOSED
PO-0001721,S-0041,M-0010,2025-09-02,2025-09-13,50,268.23,CLOSED
PO-0001722,S-0039,M-0025,2024-05-09,2024-06-06,100,1956.72,CLOSED
PO-0001723,S-0046,M-0118,2025-12-06,2026-01-23,1000,2776.65,CLOSED
PO-0001724,S-0046,M-0118,2024-02-11,2024-03-30,50,2776.65,CLOSED
PO-0001725,S-0010,M-0186,2025-10-15,2025-10-29,50,501.56,CLOSED
PO-0001726,S-0022,M-0021,2024-12-11,2025-01-24,200,4836.1,CLOSED
PO-0001727,S-0022,M-0021,2025-03-19,2025-05-02,50,4836.1,CLOSED
PO-0001728,S-0010,M-0139,2026-03-23,2026-04-06,100,2089.66,CLOSED
PO-0001729,S-0047,M-0177,2026-03-07,2026-04-04,100,2317.31,CLOSED
PO-0001730,S-0010,M-0047,2025-11-25,2025-12-09,200,3485.05,CLOSED
PO-0001731,S-0055,M-0069,2025-04-18,2025-05-15,1000,572.42,CLOSED
PO-0001732,S-0049,M-0058,2024-01-19,2024-02-24,200,3772.45,CLOSED
PO-0001733,S-0002,M-0108,2025-10-12,2025-10-25,1000,249.15,CLOSED
PO-0001734,S-0019,M-0088,2024-11-23,2024-12-25,200,4348.88,CLOSED
PO-0001735,S-0017,M-0044,2025-11-20,2025-12-26,500,1422.69,CLOSED
PO-0001736,S-0022,M-0021,2025-10-08,2025-11-21,500,4836.1,CLOSED
PO-0001737,S-0055,M-0075,2026-02-07,2026-03-06,200,2463.37,CLOSED
PO-0001738,S-0044,M-0150,2024-06-19,2024-07-08,1000,530.96,CLOSED
PO-0001739,S-0029,M-0126,2024-08-28,2024-10-20,500,1758.36,OPEN
PO-0001740,S-0031,M-0034,2025-01-22,2025-02-21,1000,469.74,OPEN
PO-0001741,S-0054,M-0032,2024-04-09,2024-04-28,500,1470.22,CLOSED
PO-0001742,S-0001,M-0147,2024-10-23,2024-12-16,100,3902.64,OPEN
PO-0001743,S-0048,M-0197,2026-03-07,2026-04-17,500,1912.16,CLOSED
PO-0001744,S-0017,M-0154,2024-10-12,2024-11-17,200,3745.47,CLOSED
PO-0001745,S-0043,M-0163,2024-11-21,2025-01-03,1000,2957.33,CLOSED
PO-0001746,S-0025,M-0127,2026-02-13,2026-02-24,500,4354.53,CLOSED
PO-0001747,S-0026,M-0001,2025-06-29,2025-07-22,200,3245.23,CLOSED
PO-0001748,S-0017,M-0026,2025-01-27,2025-03-04,1000,2208.48,CLOSED
PO-0001749,S-0006,M-0106,2024-07-12,2024-08-25,50,4452.64,CLOSED
PO-0001750,S-0004,M-0188,2025-02-22,2025-04-02,50,2830.33,CLOSED
PO-0001751,S-0046,M-0121,2025-12-01,2026-01-18,50,4181.88,OPEN
PO-0001752,S-0043,M-0006,2026-01-30,2026-03-14,1000,4662.19,OPEN
PO-0001753,S-0043,M-0168,2025-02-02,2025-03-17,1000,3215.49,CLOSED
PO-0001754,S-0031,M-0062,2024-06-28,2024-07-28,500,4741.4,OPEN
PO-0001755,S-0058,M-0052,2024-11-26,2024-12-10,100,1136.14,CLOSED
PO-0001756,S-0006,M-0119,2025-04-15,2025-05-29,100,2334.17,CLOSED
PO-0001757,S-0045,M-0165,2024-04-23,2024-05-27,1000,2244.75,CLOSED
PO-0001758,S-0017,M-0063,2025-04-18,2025-05-24,50,3049.17,CLOSED
PO-0001759,S-0056,M-0019,2026-03-12,2026-04-21,500,1151.05,OPEN
PO-0001760,S-0057,M-0184,2025-07-04,2025-07-15,50,1727.71,CLOSED
PO-0001761,S-0017,M-0113,2025-05-07,2025-06-12,50,4852.41,CLOSED
PO-0001762,S-0057,M-0184,2025-06-07,2025-06-18,500,1727.71,CLOSED
PO-0001763,S-0028,M-0068,2026-02-15,2026-03-12,1000,2554.51,CLOSED
PO-0001764,S-0017,M-0063,2026-03-25,2026-04-30,500,3049.17,CLOSED
PO-0001765,S-0056,M-0019,2025-04-14,2025-05-24,500,1151.05,CLOSED
PO-0001766,S-0029,M-0116,2025-12-17,2026-02-08,200,1371.93,CLOSED
PO-0001767,S-0046,M-0038,2025-06-18,2025-08-05,200,2028.28,CLOSED
PO-0001768,S-0057,M-0184,2024-06-11,2024-06-22,1000,1727.71,CLOSED
PO-0001769,S-0022,M-0076,2024-06-07,2024-07-21,100,3520.86,CLOSED
PO-0001770,S-0059,M-0055,2025-08-20,2025-09-01,200,2843.74,CLOSED
PO-0001771,S-0056,M-0131,2026-02-02,2026-03-14,1000,2653.46,CLOSED
PO-0001772,S-0059,M-0129,2024-11-17,2024-11-29,1000,4942.65,CLOSED
PO-0001773,S-0017,M-0044,2025-06-21,2025-07-27,500,1422.69,CLOSED
PO-0001774,S-0016,M-0080,2024-07-30,2024-09-15,100,2928.7,CLOSED
PO-0001775,S-0048,M-0031,2025-10-27,2025-12-07,100,2867.07,CLOSED
PO-0001776,S-0041,M-0135,2024-08-21,2024-09-01,100,227.7,CLOSED
PO-0001777,S-0038,M-0085,2025-06-03,2025-07-13,50,1450.84,CLOSED
PO-0001778,S-0020,M-0190,2025-07-04,2025-08-21,50,2910.7,CANCELLED
PO-0001779,S-0014,M-0015,2025-04-02,2025-05-19,1000,558.83,CLOSED
PO-0001780,S-0054,M-0059,2025-12-07,2025-12-26,500,145.95,CLOSED
PO-0001781,S-0055,M-0069,2025-07-19,2025-08-15,200,572.42,CLOSED
PO-0001782,S-0002,M-0017,2024-05-15,2024-05-28,1000,4626.21,CLOSED
PO-0001783,S-0017,M-0026,2025-07-03,2025-08-08,50,2208.48,CLOSED
PO-0001784,S-0009,M-0030,2025-03-28,2025-05-12,50,3341.4,CLOSED
PO-0001785,S-0005,M-0003,2025-08-18,2025-10-05,500,2554.13,OPEN
PO-0001786,S-0043,M-0029,2026-01-07,2026-02-19,500,2041.88,CLOSED
PO-0001787,S-0025,M-0158,2026-02-12,2026-02-23,500,3390.44,CANCELLED
PO-0001788,S-0044,M-0065,2026-02-11,2026-03-02,500,4710.28,CLOSED
PO-0001789,S-0007,M-0166,2024-11-02,2024-12-06,200,4513.4,OPEN
PO-0001790,S-0020,M-0064,2024-12-15,2025-02-01,200,177.11,CLOSED
PO-0001791,S-0043,M-0029,2026-02-13,2026-03-28,100,2041.88,CLOSED
PO-0001792,S-0002,M-0017,2026-02-17,2026-03-02,500,4626.21,CLOSED
PO-0001793,S-0019,M-0088,2025-10-15,2025-11-16,1000,4348.88,CLOSED
PO-0001794,S-0051,M-0079,2024-11-23,2024-12-26,1000,1506.47,CLOSED
